CVE ID,CWE ID,Name,Classification,Confidence,Abstraction,Notes
"CVE-2022-43863","CWE-269","Improper Privilege Management","Primary","0.80","Class","Allowed-with-Review"
"CVE-2022-43863","CWE-250","Execution with Unnecessary Privileges","Secondary","0.60","Base","Allowed"
"CVE-2022-40740","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","1.00","Base","Allowed"
"CVE-2022-40740","CWE-184","Incomplete List of Disallowed Inputs","Secondary","0.70","Base","Allowed"
"CVE-2022-22265","CWE-703","Improper Check or Handling of Exceptional Conditions","Primary","0.80","Pillar","Allowed"
"CVE-2022-22265","CWE-416","Use After Free","Secondary","0.70","Variant","Allowed"
"CVE-2022-22265","CWE-787","Out-of-bounds Write","Secondary","0.60","Base","Allowed"
"CVE-2022-34527","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","1.00","Base","Allowed"
"CVE-2022-34527","CWE-77","Improper Neutralization of Special Elements used in a Command ('Command Injection')","Secondary","0.70","Class","Allowed-with-Review"
"CVE-2022-23546","CWE-598","Use of GET Request Method With Sensitive Query Strings","Primary","0.90","Variant","Allowed"
"CVE-2022-23546","CWE-201","Insertion of Sensitive Information Into Sent Data","Secondary","0.70","Base","Allowed"
"CVE-2021-21901","CWE-121","Stack-based Buffer Overflow","Primary","1.00","Variant","Allowed"
"CVE-2021-21901","CWE-787","Out-of-bounds Write","Secondary","0.70","Base","Allowed"
"CVE-2021-21901","CWE-120","Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')","Secondary","0.60","Base","Allowed-with-Review"
"CVE-2022-21786","CWE-787","Out-of-bounds Write","Primary","0.90","Base","Allowed"
"CVE-2022-21786","CWE-704","Incorrect Type Conversion or Cast","Secondary","0.70","Class","Allowed-with-Review"
"CVE-2022-2818","CWE-212","Improper Removal of Sensitive Information Before Storage or Transfer","Primary","1.00","Base","Primary CWE"
"CVE-2022-0247","CWE-1257","Improper Access Control Applied to Mirrored or Aliased Memory Regions","Primary","0.70","Base","Primary CWE"
"CVE-2021-20543","CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","Primary","1.00","Base","Allowed"
"CVE-2021-30661","CWE-416","Use After Free","Primary","1.00","Variant","Primary CWE"
"CVE-2021-33126","CWE-284","Improper Access Control","Primary","0.75","Pillar","Discouraged"
"CVE-2021-33126","CWE-863","Incorrect Authorization","Secondary","0.60","Class","Allowed-with-Review"
"CVE-2022-32635","CWE-787","Out-of-bounds Write","Primary","1.00","Base","Allowed"
"CVE-2022-32635","CWE-125","Out-of-bounds Read","Secondary","0.70","Base","Allowed"
"CVE-2022-32635","CWE-1284","Improper Validation of Specified Quantity in Input","Secondary","0.60","Base","Allowed"
"CVE-2021-40539","CWE-288","Authentication Bypass Using an Alternate Path or Channel","Primary","0.90","Base","Primary CWE"
"CVE-2021-40539","CWE-306","Missing Authentication for Critical Function","Primary","0.70","Base","Secondary Candidate"
"CVE-2021-40539","CWE-287","Improper Authentication","Secondary","0.60","Class","Secondary Candidate"
"CVE-2022-25916","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","1.00","Base","Primary CWE"
"CVE-2022-31501","CWE-36","Absolute Path Traversal","Primary","1.00","Base","Primary CWE"
"CVE-2022-31501","CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-31501","CWE-73","External Control of File Name or Path","Primary","0.60","Base","Secondary Candidate"
"CVE-2021-40777","CWE-787","Out-of-bounds Write","Primary","1.00","Base","Allowed"
"CVE-2021-40777","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Secondary","0.70","Class","Discouraged"
"CVE-2022-1634","CWE-416","Use After Free","Primary","1.00","Variant","Primary CWE"
"CVE-2022-22239","CWE-250","Execution with Unnecessary Privileges","Primary","1.00","Base","Allowed"
"CVE-2022-22239","CWE-269","Improper Privilege Management","Secondary","0.50","Class","Discouraged"
"CVE-2022-22239","CWE-664","Improper Control of a Resource Through its Lifetime","Secondary","0.30","Pillar","Discouraged"
"CVE-2022-28144","CWE-862","Missing Authorization","Primary","1.00","Class","Allowed-with-Review"
"CVE-2022-28144","CWE-73","External Control of File Name or Path","Secondary","0.50","Base","Allowed"
"CVE-2022-20226","CWE-1021","Improper Restriction of Rendered UI Layers or Frames","Primary","0.80","Base","Primary CWE"
"CVE-2022-20226","CWE-20","Improper Input Validation","Secondary","0.50","Class","Secondary Candidate"
